Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
6424.000000, 7361.000000, 10879.000000, 15013.000000, 13808.000000, 7148.000000, 5640.000000, 5231.000000, 4800.000000
7546.000000, 7776.000000, 11388.000000, 15202.000000, 14471.000000, 7737.000000, 10512.000000, 5717.000000, 4987.000000
8010.000000, 7760.000000, 11312.000000, 14580.000000, 15590.000000, 7717.000000, 5231.000000, 4826.000000, 6593.000000
6584.000000, 7650.000000, 11556.000000, 13235.000000, 14973.000000, 7954.000000, 8129.000000, 6283.000000, 5342.000000
7537.000000, 7697.000000, 10716.000000, 13003.000000, 13343.000000, 7545.000000, 5760.000000, 4960.000000, 4764.000000
7641.000000, 8664.000000, 12199.000000, 15600.000000, 13191.000000, 8196.000000, 5374.000000, 6781.000000, 5088.000000
7296.000000, 7376.000000, 10972.000000, 14559.000000, 14094.000000, 7911.000000, 5382.000000, 4732.000000, 5412.000000
7531.000000, 7915.000000, 11949.000000, 12658.000000, 13466.000000, 7974.000000, 5595.000000, 4862.000000, 5226.000000
7639.000000, 6897.000000, 11322.000000, 15764.000000, 15347.000000, 7562.000000, 6109.000000, 4918.000000, 9852.000000
7564.000000, 7748.000000, 10521.000000, 11892.000000, 14384.000000, 7493.000000, 5984.000000, 5126.000000, 4739.000000
7571.000000, 7698.000000, 10594.000000, 12284.000000, 13484.000000, 7921.000000, 5218.000000, 6029.000000, 5360.000000
7483.000000, 7991.000000, 12967.000000, 12170.000000, 13341.000000, 7508.000000, 5630.000000, 5226.000000, 4896.000000
7422.000000, 7742.000000, 11554.000000, 14309.000000, 15316.000000, 7528.000000, 5650.000000, 4743.000000, 5091.000000
7656.000000, 7714.000000, 10646.000000, 16631.000000, 15623.000000, 8081.000000, 5485.000000, 5021.000000, 5072.000000
7504.000000, 7620.000000, 11018.000000, 12692.000000, 12845.000000, 7585.000000, 5475.000000, 4863.000000, 4877.000000
7476.000000, 7604.000000, 10677.000000, 12894.000000, 13790.000000, 8502.000000, 5702.000000, 4953.000000, 9806.000000
7599.000000, 7325.000000, 10990.000000, 13137.000000, 15222.000000, 7698.000000, 5266.000000, 4926.000000, 4727.000000
7325.000000, 7936.000000, 11522.000000, 12436.000000, 14011.000000, 7783.000000, 5548.000000, 4382.000000, 4784.000000
7502.000000, 7807.000000, 11418.000000, 15044.000000, 14958.000000, 7400.000000, 5942.000000, 5046.000000, 4949.000000
7484.000000, 7584.000000, 10771.000000, 13445.000000, 13254.000000, 7609.000000, 5235.000000, 4914.000000, 4854.000000
7576.000000, 7506.000000, 10996.000000, 13802.000000, 14826.000000, 7704.000000, 5121.000000, 4694.000000, 4751.000000
7609.000000, 7443.000000, 11452.000000, 13202.000000, 14282.000000, 7628.000000, 5156.000000, 5013.000000, 11867.000000
7642.000000, 7443.000000, 11482.000000, 12836.000000, 14179.000000, 7682.000000, 5525.000000, 5211.000000, 8780.000000
12637.000000, 7860.000000, 10736.000000, 13198.000000, 14480.000000, 8118.000000, 5776.000000, 5171.000000, 9361.000000
8102.000000, 7595.000000, 11747.000000, 12467.000000, 13306.000000, 7071.000000, 5634.000000, 4696.000000, 5188.000000
7693.000000, 7690.000000, 11832.000000, 12854.000000, 15089.000000, 7761.000000, 5557.000000, 5241.000000, 9877.000000
7511.000000, 7100.000000, 10278.000000, 14392.000000, 14480.000000, 7922.000000, 5468.000000, 6447.000000, 6175.000000
7842.000000, 7736.000000, 10802.000000, 13643.000000, 14231.000000, 8043.000000, 5516.000000, 6689.000000, 8269.000000
7503.000000, 9432.000000, 12698.000000, 11878.000000, 15023.000000, 10594.000000, 5574.000000, 6116.000000, 11814.000000
7512.000000, 6396.000000, 10465.000000, 12866.000000, 13993.000000, 7671.000000, 5495.000000, 4968.000000, 5196.000000
7573.000000, 7614.000000, 11085.000000, 13478.000000, 13899.000000, 7311.000000, 6202.000000, 5175.000000, 4787.000000
7516.000000, 7949.000000, 12173.000000, 12780.000000, 12720.000000, 7788.000000, 6274.000000, 5222.000000, 5422.000000
7540.000000, 7444.000000, 11143.000000, 13288.000000, 14206.000000, 7268.000000, 6074.000000, 4880.000000, 9533.000000
7839.000000, 7511.000000, 11501.000000, 13498.000000, 14642.000000, 7300.000000, 5784.000000, 5694.000000, 5263.000000
7615.000000, 7058.000000, 11233.000000, 12931.000000, 14054.000000, 7389.000000, 5478.000000, 4840.000000, 8353.000000
8668.000000, 7131.000000, 11783.000000, 12864.000000, 14114.000000, 8892.000000, 5340.000000, 4900.000000, 4954.000000
7744.000000, 7927.000000, 11056.000000, 14407.000000, 14549.000000, 7969.000000, 5555.000000, 4491.000000, 4936.000000
7686.000000, 7543.000000, 13794.000000, 13797.000000, 15884.000000, 7781.000000, 5294.000000, 4793.000000, 4899.000000
8016.000000, 7394.000000, 11840.000000, 13176.000000, 14049.000000, 7880.000000, 5361.000000, 5028.000000, 4930.000000
7786.000000, 7629.000000, 12583.000000, 12419.000000, 13890.000000, 8007.000000, 8574.000000, 4482.000000, 8678.000000
7986.000000, 7657.000000, 10459.000000, 13409.000000, 14645.000000, 7788.000000, 6668.000000, 4636.000000, 4826.000000
7603.000000, 8426.000000, 12290.000000, 12701.000000, 12850.000000, 7773.000000, 5394.000000, 5174.000000, 10538.000000
7758.000000, 7626.000000, 10776.000000, 13200.000000, 14844.000000, 9061.000000, 5412.000000, 4960.000000, 9953.000000
7717.000000, 6741.000000, 11780.000000, 17183.000000, 13896.000000, 8102.000000, 5727.000000, 5487.000000, 9192.000000
7538.000000, 7396.000000, 11507.000000, 13636.000000, 17274.000000, 8090.000000, 5931.000000, 6471.000000, 7052.000000
6953.000000, 7404.000000, 10926.000000, 12619.000000, 12693.000000, 7206.000000, 5658.000000, 5113.000000, 8891.000000
7477.000000, 7366.000000, 11655.000000, 13030.000000, 12342.000000, 7506.000000, 5569.000000, 4887.000000, 8454.000000
7669.000000, 7649.000000, 11165.000000, 13553.000000, 14551.000000, 7635.000000, 5275.000000, 6696.000000, 8015.000000
7637.000000, 6539.000000, 11422.000000, 12431.000000, 12923.000000, 7385.000000, 6882.000000, 4986.000000, 4776.000000
7404.000000, 7369.000000, 11665.000000, 14547.000000, 13650.000000, 7728.000000, 5464.000000, 4958.000000, 4989.000000
7802.000000, 6567.000000, 11417.000000, 13168.000000, 13027.000000, 7377.000000, 5690.000000, 5074.000000, 6497.000000
8461.000000, 7216.000000, 11485.000000, 13681.000000, 13146.000000, 6911.000000, 5729.000000, 5042.000000, 5292.000000
7578.000000, 7071.000000, 10384.000000, 14192.000000, 14210.000000, 7384.000000, 6346.000000, 5254.000000, 4783.000000
7522.000000, 7692.000000, 13179.000000, 13663.000000, 17802.000000, 7775.000000, 5428.000000, 5166.000000, 4768.000000
7377.000000, 7627.000000, 11290.000000, 13452.000000, 13551.000000, 7701.000000, 5451.000000, 5056.000000, 8412.000000
7741.000000, 7736.000000, 12282.000000, 16745.000000, 14613.000000, 8128.000000, 8246.000000, 5850.000000, 11659.000000
7476.000000, 6881.000000, 11336.000000, 14687.000000, 15155.000000, 7752.000000, 5712.000000, 5231.000000, 8589.000000
7647.000000, 7274.000000, 11749.000000, 12948.000000, 15177.000000, 7613.000000, 6176.000000, 4969.000000, 6038.000000
7677.000000, 7415.000000, 11927.000000, 14431.000000, 16054.000000, 8419.000000, 5666.000000, 5251.000000, 4994.000000
